name,robo a mano armada,robo de vehiculos,robo piraña,lesiones leves,robo,lesiones graves,hurto,vandalismo,fecha
fabrica 1,0,0,0,0,7,0,1,1,03/12/2016
fabrica 2,0,0,0,0,6,0,3,1,31/03/2016
fabrica 3,0,0,0,0,8,0,6,2,11/09/2017
fabrica 4,0,0,0,0,10,0,10,7,27/02/2015
fabrica 5,0,0,0,0,5,0,5,7,07/03/2016
fabrica 6,0,0,0,0,10,0,2,9,11/01/2019
fabrica 7,0,0,0,0,7,0,1,6,17/01/2019
fabrica 8,0,0,0,0,9,0,1,5,18/11/2021
fabrica 9,0,0,0,0,2,0,4,4,02/01/2016
fabrica 10,0,0,0,0,5,0,5,6,25/04/2014
fabrica 11,0,0,0,0,9,0,5,9,09/01/2010
fabrica 12,0,0,0,0,6,0,10,5,04/12/2013
fabrica 13,0,0,0,0,1,0,8,4,07/03/2017
fabrica 14,0,0,0,0,4,0,8,2,17/04/2013
fabrica 15,0,0,0,0,9,0,9,10,16/10/2012
fabrica 16,0,0,0,0,1,0,1,4,28/03/2017
fabrica 17,0,0,0,0,8,0,1,6,13/10/2021
fabrica 18,0,0,0,0,2,0,3,6,25/08/2017
fabrica 19,0,0,0,0,5,0,5,4,28/03/2019
fabrica 20,0,0,0,0,9,0,3,7,09/10/2017
fabrica 21,0,0,0,0,8,0,9,2,30/03/2015
fabrica 22,0,0,0,0,1,0,2,6,25/04/2016
fabrica 23,0,0,0,0,8,0,6,6,25/06/2016
fabrica 24,0,0,0,0,10,0,2,10,22/10/2014
fabrica 25,0,0,0,0,4,0,8,1,15/10/2011
fabrica 26,0,0,0,0,5,0,4,8,21/01/2019
fabrica 27,0,0,0,0,10,0,4,10,18/08/2019
fabrica 28,0,0,0,0,8,0,1,9,07/11/2011
fabrica 29,0,0,0,0,2,0,6,9,12/01/2012
fabrica 30,0,0,0,0,8,0,3,5,08/02/2010
fabrica 31,0,0,0,0,5,0,9,9,31/08/2015
fabrica 32,0,0,0,0,7,0,1,2,06/11/2014
fabrica 33,0,0,0,0,2,0,4,8,20/05/2014
fabrica 34,0,0,0,0,3,0,7,5,19/07/2020
fabrica 35,0,0,0,0,5,0,5,5,04/08/2020
fabrica 36,0,0,0,0,6,0,8,4,29/06/2015
fabrica 37,0,0,0,0,10,0,7,3,16/05/2016
fabrica 38,0,0,0,0,7,0,10,7,05/06/2015
fabrica 39,0,0,0,0,2,0,1,10,23/11/2021
fabrica 40,0,0,0,0,9,0,9,4,13/04/2018
fabrica 41,0,0,0,0,5,0,3,8,31/12/2014
fabrica 42,0,0,0,0,6,0,2,5,11/09/2021
fabrica 43,0,0,0,0,9,0,3,8,10/01/2017
fabrica 44,0,0,0,0,1,0,2,6,07/09/2016
fabrica 45,0,0,0,0,1,0,3,3,12/01/2020
fabrica 46,0,0,0,0,3,0,9,7,30/07/2012
fabrica 47,0,0,0,0,6,0,5,8,03/05/2017
fabrica 48,0,0,0,0,4,0,4,2,08/08/2015
fabrica 49,0,0,0,0,3,0,2,6,01/10/2021
fabrica 50,0,0,0,0,6,0,9,9,21/01/2011
fabrica 51,0,0,0,0,9,0,9,2,06/03/2013
fabrica 52,0,0,0,0,10,0,1,6,21/01/2015
fabrica 53,0,0,0,0,10,0,10,3,09/02/2021
