nombre,robo a mano armada,robo de vehiculos,robo piraña,lesiones leves,robo,lesiones graves,hurto,vandalismo,fecha,latitud,longitud
denuncia1,0,0,0,0,1,0,1,1,29/05/2017,-31.433011359248425,-64.25169285449383
denuncia2,0,0,0,0,0,0,0,0,24/05/2011,-31.439952366475563,-64.25089842057257
denuncia3,0,0,0,0,0,0,1,1,17/05/2017,-31.44282227624126,-64.25141351651578
denuncia4,0,0,0,0,2,0,0,2,10/08/2018,-31.45047334480952,-64.24985450476574
denuncia5,0,0,0,0,2,0,1,2,28/11/2014,-31.448917726644755,-64.25131436376346
denuncia6,0,0,0,0,0,0,0,0,16/04/2021,-31.441625928975903,-64.25207560342723
denuncia7,0,0,0,0,1,0,0,0,25/06/2010,-31.449522943995643,-64.2506026267381
denuncia8,0,0,0,0,0,0,0,1,20/08/2019,-31.435929083954075,-64.24975883282076
denuncia9,0,0,0,0,0,0,1,1,11/10/2020,-31.436722377889076,-64.2519140221865
denuncia10,0,0,0,0,0,0,0,1,14/06/2019,-31.451583067372212,-64.2523494718864
denuncia11,0,0,0,0,2,0,1,0,07/05/2020,-31.44744816847166,-64.25045001534374
denuncia12,0,0,0,0,1,0,0,2,17/07/2010,-31.4403934003921,-64.25183871725035
denuncia13,0,0,0,0,0,0,2,1,31/12/2015,-31.45029157567596,-64.25032925183149
denuncia14,0,0,0,0,2,0,1,2,25/04/2016,-31.450614753848917,-64.2523567810791
denuncia15,0,0,0,0,2,0,1,1,07/04/2011,-31.445220024507876,-64.24966487983727
denuncia16,0,0,0,0,0,0,0,1,14/02/2011,-31.439019568528103,-64.25019598293292
denuncia17,0,0,0,0,0,0,0,0,04/09/2010,-31.440215274655582,-64.25044529957925
denuncia18,0,0,0,0,1,0,0,0,05/10/2021,-31.433998063215537,-64.25217090591873
denuncia19,0,0,0,0,1,0,1,1,01/04/2019,-31.45179618464034,-64.25076234560878
denuncia20,0,0,0,0,1,0,2,0,17/03/2010,-31.43923367459391,-64.25129294447382
denuncia21,0,0,0,0,1,0,2,1,15/06/2014,-31.449222080246038,-64.25161485684815
denuncia22,0,0,0,0,1,0,1,2,16/02/2011,-31.436542422159864,-64.25169130454326
denuncia23,0,0,0,0,2,0,0,2,14/03/2013,-31.436550184073297,-64.25117550574421
denuncia24,0,0,0,0,2,0,2,0,21/05/2015,-31.439011907919497,-64.25086813536427
denuncia25,0,0,0,0,1,0,0,1,15/03/2011,-31.439474971885097,-64.25073727448378
denuncia26,0,0,0,0,1,0,2,0,17/07/2018,-31.43627040690389,-64.24979110800513
denuncia27,0,0,0,0,2,0,1,0,06/03/2018,-31.43731420225725,-64.25190515555938
denuncia28,0,0,0,0,0,0,0,0,01/01/2021,-31.444411910966977,-64.25109353997269
denuncia29,0,0,0,0,1,0,2,2,24/11/2017,-31.436786336751155,-64.25029957458261
denuncia30,0,0,0,0,2,0,0,2,05/10/2017,-31.451381894448023,-64.25071501737774
denuncia31,0,0,0,0,1,0,0,2,03/06/2021,-31.440977734432014,-64.25078245463887
denuncia32,0,0,0,0,0,0,1,2,22/09/2014,-31.440451750190554,-64.25020176574252
denuncia33,0,0,0,0,1,0,1,1,28/08/2012,-31.43305966724304,-64.25056163044297
denuncia34,0,0,0,0,2,0,0,1,13/04/2013,-31.442062388758202,-64.25181122176254
denuncia35,0,0,0,0,1,0,1,1,03/11/2012,-31.433217776850267,-64.25119814608496
denuncia36,0,0,0,0,0,0,0,1,06/12/2013,-31.44129213333105,-64.25167945874318
denuncia37,0,0,0,0,1,0,1,1,12/06/2016,-31.4489591586629,-64.25029213686175
denuncia38,0,0,0,0,2,0,0,0,22/06/2021,-31.443246205039927,-64.25159953708622
denuncia39,0,0,0,0,2,0,0,0,28/04/2016,-31.44717051456536,-64.24962257668325
denuncia40,0,0,0,0,2,0,2,2,10/04/2020,-31.449874563953376,-64.25177386981247
denuncia41,0,0,0,0,2,0,2,2,23/06/2019,-31.44736455730582,-64.25078125020116
denuncia42,0,0,0,0,0,0,0,1,04/05/2011,-31.435941263252897,-64.24984346213662
denuncia43,0,0,0,0,1,0,0,1,05/05/2019,-31.450296432873444,-64.2521791912049
denuncia44,0,0,0,0,2,0,0,1,11/06/2015,-31.446704185542146,-64.25020267815943
denuncia45,0,0,0,0,0,0,2,0,18/06/2016,-31.448073018513995,-64.25128473445903
denuncia46,0,0,0,0,2,0,1,0,16/01/2021,-31.447350776987438,-64.2519885671509
denuncia47,0,0,0,0,0,0,2,2,13/04/2018,-31.432891976300855,-64.25137703019361
denuncia48,0,0,0,0,1,0,1,2,22/01/2013,-31.448236239461114,-64.25228201696633
denuncia49,0,0,0,0,0,0,1,0,08/11/2015,-31.443763967088294,-64.25187377967171
denuncia50,0,0,0,0,0,0,2,1,22/05/2018,-31.441771102794345,-64.25177078397351
