name,robo a mano armada,robo de vehiculos,robo piraña,lesiones leves,robo,lesiones graves,hurto,vandalismo,fecha
denuncia 1,0,2,0,1,2,2,1,0,30/10/2020
denuncia 2,0,1,0,2,3,2,3,0,25/04/2012
denuncia 3,0,2,0,1,1,2,1,0,23/09/2020
denuncia 4,0,1,0,2,2,2,1,0,18/08/2019
denuncia 5,0,1,0,1,1,2,2,0,06/12/2016
denuncia 6,0,1,0,2,3,1,1,0,21/09/2021
denuncia 7,0,1,0,2,2,1,1,0,14/12/2016
denuncia 8,0,1,0,2,2,1,2,0,03/10/2010
denuncia 9,0,1,0,2,2,2,3,0,12/01/2011
denuncia 10,0,2,0,2,2,1,1,0,27/05/2010
denuncia 11,0,1,0,1,2,2,3,0,23/04/2015
denuncia 12,0,1,0,2,1,2,1,0,18/10/2010
denuncia 13,0,2,0,1,3,2,2,0,06/08/2011
denuncia 14,0,2,0,1,2,1,2,0,13/07/2020
denuncia 15,0,1,0,2,1,1,2,0,03/03/2015
denuncia 16,0,1,0,2,2,1,1,0,04/05/2015
denuncia 17,0,2,0,2,1,2,2,0,11/07/2011
denuncia 18,0,1,0,2,2,2,1,0,09/05/2011
denuncia 19,0,1,0,2,3,2,2,0,23/01/2017
denuncia 20,0,1,0,2,2,2,3,0,13/07/2012
denuncia 21,0,1,0,2,3,2,1,0,25/02/2012
denuncia 22,0,1,0,2,2,1,2,0,14/11/2016
denuncia 23,0,2,0,2,2,2,2,0,13/09/2018
denuncia 24,0,1,0,2,3,1,2,0,15/01/2015
denuncia 25,0,2,0,1,1,2,1,0,22/02/2020
denuncia 26,0,2,0,1,3,2,3,0,02/12/2020
denuncia 27,0,2,0,1,3,2,1,0,29/01/2020
denuncia 28,0,2,0,1,2,1,3,0,10/12/2020
denuncia 29,0,2,0,1,1,2,3,0,23/12/2017
denuncia 30,0,2,0,1,3,2,1,0,26/02/2014
denuncia 31,0,1,0,2,1,1,3,0,31/08/2011
denuncia 32,0,2,0,1,1,2,1,0,15/03/2021
denuncia 33,0,2,0,2,1,1,2,0,03/04/2013
denuncia 34,0,2,0,2,2,2,3,0,24/10/2016
denuncia 35,0,2,0,1,1,1,3,0,05/10/2015
denuncia 36,0,2,0,2,2,2,1,0,11/06/2014
denuncia 37,0,2,0,1,2,2,3,0,09/02/2014
denuncia 38,0,1,0,1,3,2,1,0,06/02/2021
denuncia 39,0,1,0,2,1,2,1,0,08/05/2011
denuncia 40,0,1,0,2,2,1,2,0,16/08/2014
denuncia 41,0,1,0,2,1,2,3,0,06/03/2011
denuncia 42,0,1,0,2,1,2,1,0,18/02/2012
denuncia 43,0,2,0,1,1,1,3,0,31/05/2021
denuncia 44,0,2,0,1,1,1,2,0,04/09/2018
denuncia 45,0,1,0,1,2,2,3,0,27/12/2019
denuncia 46,0,2,0,1,3,1,1,0,25/05/2014
denuncia 47,0,2,0,1,3,1,3,0,06/04/2021
denuncia 48,0,1,0,2,1,1,2,0,02/05/2015
denuncia 49,0,2,0,1,3,1,2,0,18/07/2021
denuncia 50,0,2,0,1,3,2,3,0,28/10/2016
denuncia 51,0,1,0,2,2,1,1,0,22/06/2019
denuncia 52,0,2,0,1,1,1,2,0,03/10/2014
denuncia 53,0,2,0,2,3,1,3,0,08/07/2015
denuncia 54,0,1,0,2,2,2,1,0,23/12/2019
denuncia 55,0,2,0,1,2,2,1,0,17/09/2011
denuncia 56,0,1,0,1,3,1,3,0,03/08/2017
denuncia 57,0,2,0,2,2,2,1,0,03/04/2015
denuncia 58,0,2,0,1,2,1,3,0,30/11/2020
denuncia 59,0,2,0,2,2,2,3,0,01/03/2015
denuncia 60,0,1,0,2,3,2,2,0,29/02/2020
denuncia 61,0,1,0,1,3,1,2,0,23/05/2021
denuncia 62,0,1,0,2,3,2,2,0,21/02/2020
denuncia 63,0,2,0,1,2,1,2,0,26/11/2018
denuncia 64,0,2,0,1,2,2,3,0,19/02/2010
denuncia 65,0,2,0,1,3,1,3,0,10/08/2011
denuncia 66,0,2,0,2,2,2,2,0,30/05/2014
denuncia 67,0,1,0,1,3,2,1,0,25/04/2019
denuncia 68,0,2,0,1,1,1,1,0,10/10/2021
denuncia 69,0,2,0,1,2,1,3,0,31/07/2019
denuncia 70,0,1,0,1,3,2,2,0,01/03/2021
denuncia 71,0,1,0,1,1,2,2,0,17/12/2011
denuncia 72,0,2,0,2,3,2,3,0,23/06/2010
denuncia 73,0,2,0,2,1,2,2,0,10/12/2017
denuncia 74,0,2,0,1,1,1,3,0,28/11/2015
denuncia 75,0,1,0,2,1,2,3,0,12/09/2021
denuncia 76,0,2,0,1,3,2,2,0,03/08/2013
denuncia 77,0,1,0,1,3,1,2,0,03/09/2016
denuncia 78,0,2,0,2,1,1,3,0,03/05/2012
denuncia 79,0,2,0,2,2,2,3,0,07/03/2010
denuncia 80,0,2,0,2,1,1,2,0,08/10/2016
denuncia 81,0,1,0,1,2,2,2,0,17/10/2012
denuncia 82,0,2,0,2,1,1,1,0,25/08/2020
denuncia 83,0,1,0,2,2,2,3,0,27/11/2012
