nombre,robo a mano armada,robo de vehiculos,robo piraña,lesiones leves,robo,lesiones graves,hurto,vandalismo,fecha,latitud,longitud
denuncia1,0,0,0,2,1,0,0,1,04/10/2010,-31.441867582110678,-64.243446297124
denuncia2,0,2,0,0,2,0,0,1,03/01/2020,-31.434454525064634,-64.24322543493417
denuncia3,0,1,0,2,2,0,0,2,30/11/2012,-31.437125821908122,-64.24568892954906
denuncia4,0,0,0,0,0,0,2,0,16/09/2011,-31.445943645268045,-64.24678182350657
denuncia5,0,0,0,0,0,0,1,1,18/12/2011,-31.43279255054428,-64.24612086228716
denuncia6,0,1,0,0,1,0,2,2,02/08/2010,-31.44247383824507,-64.24282032681344
denuncia7,0,1,0,1,2,1,0,0,19/02/2015,-31.438611617899387,-64.2473313599713
denuncia8,0,1,0,2,0,1,0,2,08/12/2019,-31.439392017020076,-64.24423923541755
denuncia9,0,0,0,1,2,0,2,1,09/04/2018,-31.439698145436164,-64.2466439086893
denuncia10,0,1,0,0,2,0,0,0,14/07/2013,-31.435370749834508,-64.24509405650979
denuncia11,0,2,0,2,0,2,2,2,02/10/2012,-31.442560351998512,-64.24603140310032
denuncia12,0,1,0,2,1,1,0,2,16/05/2013,-31.433381532994208,-64.24389249336113
denuncia13,0,0,0,1,2,1,2,2,14/06/2013,-31.440078747846247,-64.2433179764827
denuncia14,0,1,0,1,1,0,0,0,14/06/2013,-31.435953164841298,-64.2437210519519
denuncia15,0,0,0,2,0,2,2,2,29/06/2021,-31.444980819715077,-64.24507649414714
denuncia16,0,1,0,1,2,1,2,1,07/02/2018,-31.44616589365641,-64.24720667290508
denuncia17,0,2,0,2,2,0,2,0,27/11/2016,-31.43400686902362,-64.24370393767138
denuncia18,0,0,0,0,0,1,2,0,07/11/2010,-31.439734719202207,-64.24470270825259
denuncia19,0,1,0,2,1,1,1,0,19/05/2010,-31.442528896025465,-64.24494006423222
denuncia20,0,2,0,2,1,1,2,1,21/10/2012,-31.440437749910764,-64.2436486654956
denuncia21,0,1,0,1,1,0,0,1,13/06/2016,-31.433986194298324,-64.24510589459574
denuncia22,0,2,0,1,0,0,2,1,15/03/2015,-31.43605867192338,-64.24517147488578
denuncia23,0,1,0,0,0,0,1,1,23/08/2015,-31.443250777264645,-64.24334202096247
denuncia24,0,1,0,1,0,2,0,1,22/11/2018,-31.437155907232903,-64.24302548018979
denuncia25,0,0,0,0,1,0,0,0,17/12/2010,-31.443699349266197,-64.24373407938045
denuncia26,0,1,0,1,2,0,0,2,20/09/2014,-31.447214563303355,-64.24363536713739
denuncia27,0,1,0,2,0,0,0,0,11/04/2015,-31.44470697317091,-64.24310798679237
denuncia28,0,0,0,0,0,2,0,2,02/10/2014,-31.446077467723203,-64.24694741084471
denuncia29,0,0,0,1,0,1,1,1,16/04/2012,-31.435022308403827,-64.24559962283041
denuncia30,0,0,0,0,1,0,2,1,06/08/2019,-31.44465271675522,-64.24541021610565
denuncia31,0,2,0,0,1,2,1,2,29/06/2011,-31.438507670381522,-64.24499107280133
denuncia32,0,1,0,1,2,0,0,1,19/07/2017,-31.44141216053132,-64.24694152892715
denuncia33,0,1,0,2,1,0,1,2,20/02/2011,-31.439630162529262,-64.2442366940269
denuncia34,0,1,0,2,0,2,1,0,22/03/2011,-31.432634615873575,-64.24339584691346
denuncia35,0,1,0,0,2,1,2,0,07/08/2012,-31.444451559203003,-64.24539881596161
denuncia36,0,0,0,1,2,1,0,0,16/04/2021,-31.444832796979004,-64.24369433454014
