name,robo a mano armada,robo de vehiculos,robo piraña,lesiones leves,robo,lesiones graves,hurto,vandalismo,fecha
denuncia 1,1,0,2,0,2,0,0,0,24/08/2015
denuncia 2,2,0,1,0,2,0,0,0,12/12/2014
denuncia 3,2,0,2,0,2,0,0,0,21/03/2015
denuncia 4,2,0,1,0,2,0,0,0,16/08/2010
denuncia 5,2,0,1,0,2,0,0,0,15/07/2013
denuncia 6,2,0,2,0,2,0,0,0,09/12/2011
denuncia 7,2,0,2,0,2,0,0,0,16/03/2019
denuncia 8,1,0,2,0,2,0,0,0,28/09/2010
denuncia 9,2,0,2,0,1,0,0,0,11/05/2010
denuncia 10,2,0,1,0,1,0,0,0,25/08/2015
denuncia 11,1,0,1,0,1,0,0,0,17/12/2021
denuncia 12,1,0,1,0,2,0,0,0,10/03/2010
denuncia 13,2,0,2,0,2,0,0,0,04/02/2019
denuncia 14,1,0,1,0,1,0,0,0,11/03/2021
denuncia 15,1,0,2,0,1,0,0,0,25/02/2019
denuncia 16,2,0,1,0,2,0,0,0,12/05/2010
denuncia 17,1,0,2,0,2,0,0,0,08/12/2012
denuncia 18,2,0,1,0,2,0,0,0,20/07/2014
denuncia 19,1,0,2,0,2,0,0,0,03/03/2020
denuncia 20,2,0,2,0,2,0,0,0,31/12/2014
denuncia 21,2,0,1,0,1,0,0,0,28/03/2016
denuncia 22,2,0,1,0,2,0,0,0,07/02/2019
denuncia 23,2,0,2,0,1,0,0,0,13/09/2018
denuncia 24,1,0,1,0,2,0,0,0,04/07/2011
denuncia 25,2,0,1,0,2,0,0,0,09/12/2020
denuncia 26,2,0,2,0,1,0,0,0,11/06/2010
denuncia 27,1,0,1,0,2,0,0,0,07/08/2020
denuncia 28,2,0,2,0,2,0,0,0,20/07/2021
denuncia 29,1,0,1,0,2,0,0,0,05/09/2015
denuncia 30,2,0,1,0,2,0,0,0,24/06/2018
denuncia 31,1,0,2,0,2,0,0,0,06/05/2010
denuncia 32,1,0,1,0,2,0,0,0,03/09/2018
denuncia 33,1,0,1,0,1,0,0,0,29/06/2021
denuncia 34,1,0,2,0,2,0,0,0,07/01/2016
denuncia 35,1,0,1,0,2,0,0,0,03/07/2014
denuncia 36,2,0,2,0,2,0,0,0,07/06/2020
denuncia 37,1,0,2,0,1,0,0,0,03/12/2019
denuncia 38,1,0,1,0,1,0,0,0,05/10/2010
denuncia 39,1,0,1,0,2,0,0,0,30/05/2019
denuncia 40,2,0,1,0,1,0,0,0,25/05/2014
