nombre,robo a mano armada,robo de vehiculos,robo piraña,lesiones leves,robo,lesiones graves,hurto,vandalismo,fecha,latitud,longitud
denuncia1,1,0,0,0,0,0,0,0,07/06/2018,-31.451594392715208,-64.24300835913418
denuncia2,1,0,2,0,2,0,0,0,18/11/2017,-31.449993066893967,-64.24948496802013
denuncia3,0,0,2,0,2,0,0,0,06/02/2013,-31.45157333098493,-64.24635563468223
denuncia4,2,0,0,0,2,0,0,0,21/09/2010,-31.45123346446327,-64.24793592001386
denuncia5,0,0,2,0,0,0,0,0,12/12/2016,-31.450184191768646,-64.24365133603051
denuncia6,2,0,1,0,2,0,0,0,22/01/2020,-31.447442161699428,-64.24917596289669
denuncia7,1,0,0,0,0,0,0,0,05/04/2015,-31.451880183442626,-64.24633333733425
denuncia8,1,0,2,0,2,0,0,0,12/04/2013,-31.451716788785742,-64.2456321793116
denuncia9,2,0,2,0,1,0,0,0,08/05/2012,-31.44806424449578,-64.24695932689276
denuncia10,2,0,2,0,1,0,0,0,04/01/2014,-31.450493089493364,-64.24424032598102
denuncia11,0,0,0,0,1,0,0,0,27/01/2018,-31.448206483696552,-64.24361979142083
denuncia12,1,0,0,0,1,0,0,0,29/06/2017,-31.44904829134379,-64.24320239285662
denuncia13,2,0,0,0,2,0,0,0,25/03/2012,-31.448754265435376,-64.24680338616814
denuncia14,0,0,2,0,2,0,0,0,13/03/2011,-31.447993224473034,-64.24711056753262
denuncia15,1,0,2,0,0,0,0,0,03/12/2013,-31.45049753210973,-64.24678322514718
denuncia16,2,0,1,0,2,0,0,0,04/12/2021,-31.44858917441604,-64.24831572786165
denuncia17,2,0,0,0,0,0,0,0,25/11/2013,-31.45020009646663,-64.24913551294367
denuncia18,1,0,0,0,1,0,0,0,22/06/2019,-31.451207158227515,-64.24352711830942
denuncia19,2,0,2,0,2,0,0,0,01/03/2012,-31.45006004913369,-64.2475643397212
denuncia20,1,0,0,0,2,0,0,0,29/07/2013,-31.451112804763177,-64.24443955314442
denuncia21,2,0,2,0,1,0,0,0,21/07/2016,-31.44810542865177,-64.24442350991869
denuncia22,2,0,1,0,2,0,0,0,16/03/2021,-31.448499158928502,-64.24599070879039
denuncia23,0,0,0,0,2,0,0,0,26/11/2012,-31.4517328097902,-64.24355947608021
denuncia24,1,0,2,0,1,0,0,0,12/07/2021,-31.44964119284949,-64.24733460673576
denuncia25,0,0,1,0,1,0,0,0,10/10/2012,-31.447602988969912,-64.24652077095482
denuncia26,1,0,0,0,2,0,0,0,17/01/2020,-31.451280519985303,-64.24838947273575
denuncia27,1,0,1,0,2,0,0,0,08/05/2021,-31.45050201309448,-64.2447019899274
denuncia28,1,0,0,0,2,0,0,0,28/08/2019,-31.4475274967547,-64.24416328922791
denuncia29,2,0,2,0,2,0,0,0,25/07/2012,-31.451776565660246,-64.24846340747793
denuncia30,0,0,0,0,1,0,0,0,25/09/2021,-31.44757136516233,-64.24940002719318
denuncia31,1,0,2,0,2,0,0,0,11/12/2017,-31.449453116631688,-64.24699232085126
denuncia32,0,0,0,0,1,0,0,0,20/12/2020,-31.450688138556753,-64.24936673761088
denuncia33,1,0,1,0,2,0,0,0,24/07/2011,-31.451684830618255,-64.24632286893932
denuncia34,1,0,0,0,1,0,0,0,02/12/2020,-31.44929735442546,-64.24761262155631
denuncia35,2,0,0,0,1,0,0,0,13/11/2011,-31.449128700872127,-64.24465408960793
denuncia36,1,0,1,0,0,0,0,0,22/10/2013,-31.449380103393636,-64.24687608775432
denuncia37,1,0,2,0,1,0,0,0,22/05/2014,-31.44851842876346,-64.24459469201199
denuncia38,0,0,2,0,0,0,0,0,13/07/2014,-31.451852615895493,-64.24812558983945
denuncia39,2,0,2,0,1,0,0,0,28/11/2011,-31.448159115971663,-64.24383751668417
denuncia40,2,0,1,0,1,0,0,0,05/11/2021,-31.44823974053063,-64.24769085606866
denuncia41,0,0,0,0,1,0,0,0,14/10/2014,-31.44776796798699,-64.24746673937769
denuncia42,2,0,1,0,1,0,0,0,16/02/2010,-31.449051118060723,-64.24790924013162
denuncia43,2,0,0,0,2,0,0,0,04/01/2015,-31.450909892166056,-64.24834121328088
denuncia44,0,0,0,0,2,0,0,0,21/12/2011,-31.450067358108676,-64.24884297713274
denuncia45,1,0,2,0,1,0,0,0,25/11/2020,-31.447455455934016,-64.24400710028142
denuncia46,0,0,2,0,2,0,0,0,28/04/2016,-31.451878909370592,-64.24854658144471
denuncia47,0,0,0,0,2,0,0,0,27/02/2016,-31.448316239898244,-64.24688389980825
denuncia48,2,0,0,0,2,0,0,0,03/08/2018,-31.449737576308678,-64.24378060454391
denuncia49,1,0,1,0,1,0,0,0,02/11/2015,-31.451373914545265,-64.2444580654903
denuncia50,2,0,0,0,1,0,0,0,07/12/2014,-31.448406819215997,-64.24808067411938
denuncia51,1,0,1,0,0,0,0,0,05/02/2011,-31.4487606094412,-64.24759488184954
denuncia52,1,0,1,0,1,0,0,0,23/08/2016,-31.45039006124667,-64.24940061022014
denuncia53,0,0,1,0,2,0,0,0,14/10/2019,-31.44980887246186,-64.24709249088151
denuncia54,2,0,0,0,0,0,0,0,17/04/2010,-31.45183639824688,-64.24744859038778
denuncia55,0,0,1,0,1,0,0,0,31/05/2010,-31.447833514861937,-64.2481043510845
denuncia56,1,0,2,0,0,0,0,0,22/04/2018,-31.45078939781898,-64.2437122646572
denuncia57,0,0,2,0,0,0,0,0,16/02/2013,-31.448336815210112,-64.24331384368311
denuncia58,2,0,1,0,1,0,0,0,23/08/2012,-31.44777629653254,-64.24903130663043
denuncia59,0,0,1,0,1,0,0,0,09/01/2014,-31.451347584775753,-64.24720035459084
denuncia60,2,0,0,0,2,0,0,0,16/12/2014,-31.448359416038347,-64.24576152728906
denuncia61,0,0,2,0,0,0,0,0,06/07/2019,-31.45052855651036,-64.24760991216328
denuncia62,0,0,1,0,0,0,0,0,07/07/2017,-31.44755975313012,-64.24443321837964
denuncia63,2,0,1,0,1,0,0,0,06/07/2020,-31.448033806950768,-64.24402158988622
denuncia64,2,0,1,0,2,0,0,0,19/04/2016,-31.448496935517795,-64.2492608184105
denuncia65,1,0,2,0,1,0,0,0,22/09/2015,-31.450968574639152,-64.24905066711861
denuncia66,1,0,2,0,1,0,0,0,21/05/2011,-31.44889724099189,-64.2488761414078
denuncia67,1,0,2,0,1,0,0,0,27/10/2017,-31.450554992665726,-64.24527180854786
denuncia68,0,0,1,0,1,0,0,0,11/07/2021,-31.448618385950464,-64.24828540812356
denuncia69,2,0,0,0,2,0,0,0,31/05/2013,-31.448399605566156,-64.24573412430968
denuncia70,1,0,1,0,0,0,0,0,16/10/2013,-31.44951489993403,-64.24327229561288
denuncia71,1,0,0,0,2,0,0,0,19/12/2021,-31.451706127882723,-64.24726111503688
denuncia72,1,0,1,0,2,0,0,0,18/11/2012,-31.44774252763092,-64.24572986683793
denuncia73,1,0,0,0,1,0,0,0,02/08/2014,-31.45017846749175,-64.24915534863877
denuncia74,0,0,0,0,1,0,0,0,02/05/2011,-31.45155442819015,-64.24915682826978
denuncia75,0,0,1,0,2,0,0,0,10/11/2012,-31.44767668041832,-64.24685487509686
denuncia76,0,0,2,0,1,0,0,0,01/10/2021,-31.449329666946024,-64.24841477091144
denuncia77,0,0,2,0,0,0,0,0,16/01/2013,-31.448493278491824,-64.24298028135047
denuncia78,1,0,2,0,2,0,0,0,23/12/2010,-31.449931563856417,-64.24657430361582
denuncia79,2,0,0,0,0,0,0,0,21/09/2020,-31.448718572982337,-64.24887308867729
denuncia80,0,0,0,0,0,0,0,0,01/03/2018,-31.447396365333635,-64.24463455965697
denuncia81,2,0,0,0,2,0,0,0,04/02/2021,-31.450462469426437,-64.24718510461855
denuncia82,1,0,0,0,0,0,0,0,19/01/2010,-31.447920470721506,-64.24752414712839
denuncia83,0,0,0,0,0,0,0,0,18/10/2011,-31.448217035621816,-64.2430185287377
denuncia84,2,0,2,0,0,0,0,0,15/01/2011,-31.447948259259476,-64.24954887995946
denuncia85,2,0,2,0,1,0,0,0,26/02/2020,-31.44947563430387,-64.24510000564248
denuncia86,1,0,0,0,2,0,0,0,09/03/2012,-31.448487439811213,-64.24493431011824
denuncia87,2,0,1,0,1,0,0,0,19/08/2016,-31.4505382442461,-64.24358906255574
denuncia88,2,0,2,0,2,0,0,0,03/09/2017,-31.44928574546975,-64.24861072595009
denuncia89,0,0,2,0,0,0,0,0,03/07/2014,-31.450781622872647,-64.24834469900418
denuncia90,0,0,0,0,1,0,0,0,22/04/2012,-31.44882504864368,-64.24333191485714
denuncia91,1,0,0,0,0,0,0,0,07/08/2011,-31.44779000329218,-64.24928068712886
denuncia92,1,0,0,0,1,0,0,0,04/06/2021,-31.447984258119803,-64.2447608382641
denuncia93,0,0,1,0,0,0,0,0,28/06/2018,-31.45075766435384,-64.24382830692872
denuncia94,1,0,2,0,0,0,0,0,28/04/2016,-31.44781282103359,-64.24609986877246
denuncia95,1,0,1,0,2,0,0,0,08/10/2017,-31.44841299681093,-64.24513385700389
denuncia96,1,0,0,0,2,0,0,0,19/05/2017,-31.45040891421686,-64.24345740052242
denuncia97,2,0,0,0,0,0,0,0,15/03/2010,-31.447432550860505,-64.24911534157151
denuncia98,1,0,2,0,0,0,0,0,22/04/2014,-31.451510245023982,-64.24802091681272
denuncia99,1,0,1,0,2,0,0,0,28/04/2019,-31.45141405459098,-64.24793772264313
denuncia100,1,0,0,0,1,0,0,0,11/10/2021,-31.450982900751704,-64.24601723884811
denuncia101,1,0,0,0,0,0,0,0,26/06/2019,-31.448960332853158,-64.24561747060004
denuncia102,1,0,2,0,2,0,0,0,11/06/2018,-31.450864334587852,-64.24833191971992
denuncia103,1,0,2,0,0,0,0,0,23/10/2016,-31.451278531721943,-64.2489435753859
denuncia104,1,0,1,0,1,0,0,0,10/10/2017,-31.45093877011659,-64.24742651928645
denuncia105,2,0,2,0,2,0,0,0,17/07/2016,-31.451434649845563,-64.24668471718127
denuncia106,1,0,1,0,1,0,0,0,24/09/2016,-31.451808070891516,-64.24874669997634
denuncia107,0,0,2,0,2,0,0,0,06/12/2012,-31.44748856078786,-64.24331076209039
denuncia108,1,0,1,0,2,0,0,0,04/12/2013,-31.44984821058545,-64.24355717319321
denuncia109,0,0,0,0,1,0,0,0,25/12/2016,-31.449325290171288,-64.24890522880399
denuncia110,1,0,0,0,2,0,0,0,18/06/2014,-31.447610798329134,-64.2478046979051
denuncia111,2,0,2,0,0,0,0,0,25/07/2013,-31.448145380932736,-64.24845444091093
denuncia112,2,0,2,0,2,0,0,0,13/04/2015,-31.44811555340758,-64.24874924932695
denuncia113,2,0,2,0,1,0,0,0,16/09/2020,-31.451569733510617,-64.24545659027628
denuncia114,0,0,1,0,0,0,0,0,10/09/2016,-31.450475399026878,-64.24739545053922
denuncia115,1,0,2,0,1,0,0,0,22/11/2010,-31.44938534158929,-64.2489796547367
denuncia116,1,0,1,0,2,0,0,0,29/09/2011,-31.451051672698593,-64.24397866955724
denuncia117,1,0,0,0,2,0,0,0,27/05/2015,-31.449123650358775,-64.24427445704283
denuncia118,0,0,1,0,1,0,0,0,03/12/2017,-31.449120294103796,-64.24847696709963
denuncia119,2,0,2,0,0,0,0,0,30/08/2010,-31.448227964708696,-64.24464474818566
denuncia120,0,0,2,0,1,0,0,0,07/07/2015,-31.449731402509475,-64.24813257690333
denuncia121,0,0,2,0,1,0,0,0,22/01/2019,-31.448239875667102,-64.24562812675596
denuncia122,2,0,1,0,1,0,0,0,18/10/2016,-31.44832007184703,-64.24484528214234
denuncia123,0,0,1,0,0,0,0,0,23/09/2010,-31.450557445520758,-64.24776037959998
denuncia124,2,0,1,0,0,0,0,0,13/01/2017,-31.449779420479437,-64.2488231663929
denuncia125,0,0,0,0,0,0,0,0,27/07/2018,-31.44838848192133,-64.24889284591515
denuncia126,0,0,1,0,1,0,0,0,17/09/2010,-31.45134846885069,-64.24709930328218
denuncia127,0,0,0,0,2,0,0,0,08/06/2017,-31.450577922055363,-64.24410569737435
denuncia128,0,0,1,0,1,0,0,0,15/04/2017,-31.451634608121076,-64.2476834071172
denuncia129,0,0,2,0,2,0,0,0,11/03/2017,-31.448934869433373,-64.24662880350753
denuncia130,2,0,2,0,0,0,0,0,15/09/2018,-31.449213016318943,-64.24827832325342
denuncia131,0,0,0,0,2,0,0,0,25/03/2014,-31.44992669821265,-64.24877884520627
denuncia132,2,0,1,0,1,0,0,0,31/03/2021,-31.44812458385055,-64.24951283299937
denuncia133,2,0,0,0,2,0,0,0,17/04/2015,-31.45103601284548,-64.24419042129611
denuncia134,2,0,2,0,1,0,0,0,21/01/2015,-31.449126553652757,-64.24666034118312
denuncia135,1,0,1,0,1,0,0,0,22/04/2016,-31.448921141656026,-64.24627163551253
denuncia136,1,0,1,0,2,0,0,0,12/06/2016,-31.45015946546668,-64.24612982908054
denuncia137,0,0,2,0,2,0,0,0,22/03/2010,-31.449073605910637,-64.24342584463727
denuncia138,2,0,0,0,2,0,0,0,19/09/2012,-31.44921616091718,-64.24947323675478
denuncia139,1,0,2,0,1,0,0,0,18/06/2010,-31.451754702230218,-64.24815333016927
denuncia140,0,0,0,0,2,0,0,0,15/06/2019,-31.450344258918275,-64.24524129646653
denuncia141,2,0,0,0,0,0,0,0,23/08/2013,-31.449870701457932,-64.24898437411743
denuncia142,1,0,1,0,2,0,0,0,01/06/2011,-31.45054437197285,-64.24417394906192
denuncia143,0,0,0,0,1,0,0,0,11/01/2013,-31.450695259297913,-64.24654795298466
denuncia144,0,0,0,0,0,0,0,0,03/02/2012,-31.450264383382937,-64.24351327114977
denuncia145,1,0,0,0,1,0,0,0,07/03/2019,-31.451455521629274,-64.2467211662746
denuncia146,2,0,1,0,1,0,0,0,30/10/2010,-31.44998948318803,-64.2441103868003
denuncia147,1,0,2,0,0,0,0,0,01/04/2015,-31.449811819758896,-64.24635710828971
denuncia148,0,0,0,0,1,0,0,0,30/12/2012,-31.451376020892678,-64.24495630822051
denuncia149,2,0,0,0,2,0,0,0,20/11/2018,-31.447983606057335,-64.2485080829675
denuncia150,1,0,2,0,0,0,0,0,10/11/2010,-31.447380622447415,-64.24542302934826
denuncia151,0,0,0,0,2,0,0,0,03/04/2010,-31.44963399754897,-64.24884646314551
denuncia152,1,0,2,0,2,0,0,0,19/08/2014,-31.448120113693708,-64.24612163099779
denuncia153,2,0,0,0,2,0,0,0,01/09/2012,-31.450037385766702,-64.24725574935009
denuncia154,0,0,2,0,2,0,0,0,16/02/2010,-31.44938691416168,-64.24744181811506
denuncia155,0,0,0,0,0,0,0,0,21/10/2014,-31.450129064958887,-64.24462396909098
denuncia156,2,0,0,0,0,0,0,0,16/05/2017,-31.44739036043844,-64.24809570400244
denuncia157,2,0,0,0,1,0,0,0,12/06/2015,-31.44865278714832,-64.24439816208493
denuncia158,0,0,2,0,2,0,0,0,14/08/2010,-31.450506977079524,-64.24629664454628
denuncia159,2,0,2,0,0,0,0,0,27/06/2018,-31.44998689286179,-64.24591322802478
denuncia160,2,0,1,0,0,0,0,0,15/09/2010,-31.45137718323102,-64.24770964581906
denuncia161,0,0,1,0,2,0,0,0,20/11/2018,-31.451022055676933,-64.24771304562387
denuncia162,1,0,2,0,0,0,0,0,09/04/2015,-31.447536263698893,-64.24728139338903
denuncia163,1,0,2,0,2,0,0,0,30/12/2010,-31.448074914325566,-64.24893731180893
denuncia164,0,0,2,0,2,0,0,0,07/07/2011,-31.448836309698475,-64.24566988433781
denuncia165,2,0,1,0,1,0,0,0,08/10/2011,-31.44869769112699,-64.2488166016251
denuncia166,1,0,1,0,1,0,0,0,29/08/2020,-31.44786205214734,-64.24859846249049
denuncia167,2,0,1,0,0,0,0,0,15/07/2013,-31.448445991996234,-64.24777023454149
denuncia168,1,0,0,0,2,0,0,0,13/02/2014,-31.45092663234912,-64.24606566072663
denuncia169,1,0,2,0,0,0,0,0,27/05/2011,-31.45158937873315,-64.24556521715216
denuncia170,2,0,0,0,0,0,0,0,07/05/2020,-31.450613376183465,-64.24794266378792
denuncia171,1,0,2,0,2,0,0,0,30/04/2015,-31.449106277042464,-64.2490266923963
denuncia172,0,0,1,0,2,0,0,0,21/08/2010,-31.451283103513354,-64.24801973491103
denuncia173,2,0,1,0,1,0,0,0,30/06/2020,-31.450190282312978,-64.24630931839438
denuncia174,1,0,0,0,0,0,0,0,22/09/2019,-31.449680581614746,-64.24868780530623
denuncia175,2,0,2,0,0,0,0,0,06/07/2021,-31.450581340169183,-64.2480539807086
denuncia176,1,0,0,0,2,0,0,0,04/09/2021,-31.449505370767366,-64.24302356582396
denuncia177,1,0,2,0,2,0,0,0,05/06/2021,-31.450561297856552,-64.24381133638074
denuncia178,1,0,0,0,0,0,0,0,18/12/2020,-31.448973838555435,-64.24741669829062
denuncia179,0,0,2,0,0,0,0,0,25/08/2011,-31.450472834540022,-64.24932565279282
denuncia180,2,0,0,0,0,0,0,0,08/02/2021,-31.45039670116065,-64.24395508354638
denuncia181,2,0,1,0,0,0,0,0,10/04/2011,-31.449220320290074,-64.24556285787737
denuncia182,1,0,2,0,0,0,0,0,12/07/2017,-31.450880099855045,-64.24644261479716
denuncia183,1,0,1,0,1,0,0,0,26/09/2020,-31.44971698708036,-64.24467153397605
denuncia184,0,0,2,0,2,0,0,0,10/10/2021,-31.449193821390313,-64.2480370271205
denuncia185,2,0,0,0,1,0,0,0,18/01/2013,-31.447841411515576,-64.24645639049659
denuncia186,2,0,1,0,2,0,0,0,12/01/2012,-31.450329654235713,-64.24907509960882
denuncia187,1,0,0,0,2,0,0,0,18/08/2019,-31.44978565792987,-64.24784552333541
denuncia188,2,0,2,0,0,0,0,0,13/06/2021,-31.45008509852074,-64.24382155494558
denuncia189,1,0,0,0,2,0,0,0,24/05/2020,-31.448370567621794,-64.24608742735766
denuncia190,2,0,2,0,0,0,0,0,08/01/2013,-31.447860437337294,-64.24890770554201
denuncia191,0,0,1,0,0,0,0,0,12/09/2010,-31.45054417243159,-64.24679710770197
denuncia192,1,0,1,0,2,0,0,0,10/05/2011,-31.44992008547469,-64.24570881175644
denuncia193,0,0,0,0,2,0,0,0,02/07/2020,-31.450432715290138,-64.24868283102403
denuncia194,2,0,2,0,2,0,0,0,10/03/2016,-31.45155777583574,-64.24561270625989
denuncia195,1,0,2,0,1,0,0,0,10/11/2010,-31.44913265471362,-64.24408926564014
denuncia196,2,0,1,0,2,0,0,0,11/08/2021,-31.450617301286805,-64.24493246007181
denuncia197,0,0,0,0,0,0,0,0,13/01/2011,-31.447470259500033,-64.24706933838164
denuncia198,2,0,1,0,0,0,0,0,20/06/2020,-31.45183196035153,-64.24837301329654
denuncia199,1,0,0,0,2,0,0,0,01/06/2015,-31.450919514230204,-64.24648151165471
denuncia200,0,0,2,0,2,0,0,0,09/05/2019,-31.447806608973114,-64.24860004576968
denuncia201,2,0,1,0,1,0,0,0,31/10/2021,-31.451211323292362,-64.2450121554884
denuncia202,2,0,1,0,1,0,0,0,19/03/2017,-31.450976527993085,-64.24570421740592
denuncia203,0,0,1,0,2,0,0,0,31/05/2010,-31.449244026477473,-64.24899743633154
denuncia204,2,0,2,0,0,0,0,0,04/10/2015,-31.451121123009,-64.2439579069443
denuncia205,2,0,2,0,1,0,0,0,29/10/2011,-31.449399452714857,-64.24886551351511
denuncia206,1,0,2,0,1,0,0,0,25/05/2021,-31.447906475423938,-64.24871282477223
denuncia207,0,0,2,0,1,0,0,0,28/09/2011,-31.449468521530516,-64.245198045005
denuncia208,2,0,0,0,2,0,0,0,21/12/2015,-31.449729402813198,-64.2459756610552
denuncia209,0,0,0,0,1,0,0,0,28/05/2011,-31.45110345972468,-64.24293451365035
denuncia210,1,0,0,0,1,0,0,0,03/09/2011,-31.450286208390832,-64.24783693532522
denuncia211,0,0,2,0,2,0,0,0,20/09/2015,-31.450625406991303,-64.24490254053234
denuncia212,2,0,1,0,0,0,0,0,30/05/2021,-31.449734248845694,-64.24385599346091
denuncia213,0,0,1,0,2,0,0,0,24/03/2014,-31.45053687746549,-64.24899969152942
denuncia214,2,0,2,0,1,0,0,0,11/01/2018,-31.4510137087084,-64.24678886264525
denuncia215,1,0,2,0,2,0,0,0,20/06/2021,-31.451497618694912,-64.2481828207369
denuncia216,0,0,1,0,0,0,0,0,02/08/2013,-31.451826982536215,-64.24918966013857
denuncia217,1,0,0,0,0,0,0,0,17/06/2019,-31.4479734885471,-64.2438716349101
denuncia218,1,0,1,0,1,0,0,0,09/05/2018,-31.448375555794897,-64.24871147402858
denuncia219,2,0,1,0,2,0,0,0,25/09/2012,-31.447961107612848,-64.2477823645958
denuncia220,1,0,1,0,2,0,0,0,16/10/2019,-31.448302660963222,-64.2453188450186
denuncia221,1,0,0,0,1,0,0,0,14/11/2010,-31.451836918695854,-64.24509452612571
denuncia222,2,0,0,0,2,0,0,0,28/08/2016,-31.448992040832838,-64.2493849568543
denuncia223,2,0,0,0,1,0,0,0,02/02/2018,-31.449092635988197,-64.24611293315584
denuncia224,0,0,0,0,0,0,0,0,08/09/2014,-31.448818983614988,-64.24671621496118
denuncia225,2,0,2,0,0,0,0,0,21/03/2016,-31.45018074376985,-64.24688562042445
denuncia226,1,0,2,0,2,0,0,0,08/07/2019,-31.447922393547458,-64.24743360004933
denuncia227,0,0,0,0,1,0,0,0,02/03/2014,-31.448506021913108,-64.2443878258127
denuncia228,1,0,0,0,2,0,0,0,16/10/2013,-31.44911791846598,-64.24419233557359
denuncia229,0,0,0,0,1,0,0,0,27/04/2020,-31.448818289494728,-64.24830521024204
denuncia230,2,0,0,0,0,0,0,0,14/11/2019,-31.449031046842414,-64.24790211234159
denuncia231,1,0,2,0,2,0,0,0,20/02/2012,-31.450296013461955,-64.24934307618753
denuncia232,0,0,0,0,1,0,0,0,10/04/2021,-31.449448150807388,-64.2482704131431
denuncia233,0,0,2,0,0,0,0,0,06/03/2018,-31.44884923422075,-64.24511253890921
denuncia234,1,0,0,0,2,0,0,0,19/12/2012,-31.448743710906196,-64.24769632290642
denuncia235,1,0,1,0,2,0,0,0,29/10/2010,-31.447460162477054,-64.24453387602647
denuncia236,0,0,1,0,2,0,0,0,26/07/2010,-31.450305784381673,-64.24909725379985
denuncia237,1,0,2,0,2,0,0,0,30/11/2014,-31.447970083015843,-64.24871896525309
denuncia238,0,0,2,0,1,0,0,0,03/02/2011,-31.44947473398041,-64.24482735779381
denuncia239,0,0,0,0,1,0,0,0,02/01/2017,-31.44801370399789,-64.24379813223854
denuncia240,1,0,0,0,0,0,0,0,10/01/2013,-31.450977620526988,-64.2446167796568
denuncia241,2,0,0,0,0,0,0,0,31/01/2014,-31.451719960413453,-64.24327260947206
denuncia242,1,0,2,0,1,0,0,0,23/12/2017,-31.450548136451946,-64.24795671080275
denuncia243,1,0,1,0,0,0,0,0,12/01/2016,-31.4514929144868,-64.246578192376
denuncia244,1,0,0,0,2,0,0,0,14/12/2013,-31.451084220920194,-64.24550723921656
denuncia245,0,0,1,0,1,0,0,0,16/02/2021,-31.450207694231967,-64.2451210757253
denuncia246,2,0,0,0,1,0,0,0,24/10/2017,-31.450410075245966,-64.24744652743571
denuncia247,0,0,1,0,2,0,0,0,29/01/2018,-31.449791084692123,-64.24392187410508
